station_id,requested_datetime_utc,datetime_ict,date_utc,hour_utc,hour_ict,status,message,n_levels,surface_pressure_hPa,top_pressure_hPa,max_height_m,pressure_monotonic_decreasing,temperature_valid_n,dewpoint_valid_n,wind_valid_n,wind_speed_source_unit,raw_text_file,profile_csv_file,source_endpoint
48327,2024-03-11 12:00:00,2024-03-11 19:00:00,2024-03-11,12,19,error,HTTP 404,,,,,,,,,,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/00_raw_text/sounding_48327_2024-03-11_12Z.txt,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/01_profiles_csv/sounding_48327_2024-03-11_12Z.csv,https://weather.uwyo.edu/wsgi/sounding
48327,2024-03-12 00:00:00,2024-03-12 07:00:00,2024-03-12,0,7,downloaded,downloaded and parsed successfully,74.0,978.0,31.4,23415.0,True,74.0,74.0,74.0,m/s,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/00_raw_text/sounding_48327_2024-03-12_00Z.txt,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/01_profiles_csv/sounding_48327_2024-03-12_00Z.csv,https://weather.uwyo.edu/wsgi/sounding
48327,2024-03-12 06:00:00,2024-03-12 13:00:00,2024-03-12,6,13,error,HTTP 404,,,,,,,,,,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/00_raw_text/sounding_48327_2024-03-12_06Z.txt,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/01_profiles_csv/sounding_48327_2024-03-12_06Z.csv,https://weather.uwyo.edu/wsgi/sounding
48327,2024-03-12 12:00:00,2024-03-12 19:00:00,2024-03-12,12,19,error,HTTP 404,,,,,,,,,,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/00_raw_text/sounding_48327_2024-03-12_12Z.txt,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/01_profiles_csv/sounding_48327_2024-03-12_12Z.csv,https://weather.uwyo.edu/wsgi/sounding
48327,2024-03-13 00:00:00,2024-03-13 07:00:00,2024-03-13,0,7,downloaded,downloaded and parsed successfully,77.0,978.0,28.9,23934.0,True,77.0,77.0,76.0,m/s,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/00_raw_text/sounding_48327_2024-03-13_00Z.txt,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/01_profiles_csv/sounding_48327_2024-03-13_00Z.csv,https://weather.uwyo.edu/wsgi/sounding
48327,2024-03-13 06:00:00,2024-03-13 13:00:00,2024-03-13,6,13,error,HTTP 404,,,,,,,,,,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/00_raw_text/sounding_48327_2024-03-13_06Z.txt,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/01_profiles_csv/sounding_48327_2024-03-13_06Z.csv,https://weather.uwyo.edu/wsgi/sounding
48327,2024-03-13 12:00:00,2024-03-13 19:00:00,2024-03-13,12,19,error,HTTP 404,,,,,,,,,,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/00_raw_text/sounding_48327_2024-03-13_12Z.txt,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/01_profiles_csv/sounding_48327_2024-03-13_12Z.csv,https://weather.uwyo.edu/wsgi/sounding
48327,2024-03-14 00:00:00,2024-03-14 07:00:00,2024-03-14,0,7,downloaded,downloaded and parsed successfully,79.0,978.0,29.4,23866.0,True,79.0,79.0,79.0,m/s,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/00_raw_text/sounding_48327_2024-03-14_00Z.txt,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/01_profiles_csv/sounding_48327_2024-03-14_00Z.csv,https://weather.uwyo.edu/wsgi/sounding
48327,2024-03-14 06:00:00,2024-03-14 13:00:00,2024-03-14,6,13,error,HTTP 404,,,,,,,,,,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/00_raw_text/sounding_48327_2024-03-14_06Z.txt,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/01_profiles_csv/sounding_48327_2024-03-14_06Z.csv,https://weather.uwyo.edu/wsgi/sounding
48327,2024-03-14 12:00:00,2024-03-14 19:00:00,2024-03-14,12,19,error,HTTP 404,,,,,,,,,,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/00_raw_text/sounding_48327_2024-03-14_12Z.txt,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/01_profiles_csv/sounding_48327_2024-03-14_12Z.csv,https://weather.uwyo.edu/wsgi/sounding
48327,2024-03-15 00:00:00,2024-03-15 07:00:00,2024-03-15,0,7,downloaded,downloaded and parsed successfully,89.0,977.0,28.5,24075.0,True,89.0,89.0,88.0,m/s,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/00_raw_text/sounding_48327_2024-03-15_00Z.txt,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/01_profiles_csv/sounding_48327_2024-03-15_00Z.csv,https://weather.uwyo.edu/wsgi/sounding
48327,2024-03-15 06:00:00,2024-03-15 13:00:00,2024-03-15,6,13,error,HTTP 404,,,,,,,,,,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/00_raw_text/sounding_48327_2024-03-15_06Z.txt,/content/drive/MyDrive/Teaching_AirQuality/ChiangMai_Sounding_48327_MarApr2024/01_profiles_csv/sounding_48327_2024-03-15_06Z.csv,https://weather.uwyo.edu/wsgi/sounding
